id,global_rank,state_rank,state,name,city,latitude,longitude,roof_area_sqft,annual_rain_inches,annual_capture_gallons,cooling_tower_score,cooling_confidence,cooling_tower_distance_m,facility_score,water_cost_score,roof_geometry_quality_score,final_viability_score,opportunity_type,explanation,visual_notes,review_scope,review_status,primary_visual_source,satellite_review_status,satellite_context_observation,sentinel_landsat_note,gee_note,high_res_confirmation_note,usable_roof_observation,rooftop_obstruction_flag,rooftop_obstruction_notes,cooling_visual_support,cooling_visual_confidence,site_context_note,imagery_note,reviewed_by,reviewed_at,google_earth_link,gee_reference_link,high_res_confirmation_link,review_workflow
texas_9327c54e696e,11,2,Texas,,,29.772385,-95.271235,1256073.0,28.87,22591741.54,0.8,0.75,272.19025034730515,0.8,0.2647,0.6248,38.05,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/29.772385,-95.271235",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2029.772385%20-95.271235,"https://www.google.com/maps?q=29.772385,-95.271235&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
new_mexico_deb55392f13f,12,1,New Mexico,,,32.895119,-106.382085,65602689.55,14.63,597935057.88,0.1,0.3,91047.0682601278,0.1,0.1373,0.6029,37.94,Rainfall-Driven,"Strong candidate due to very large roof catchment area, very high annual capture potential.",Very large roof catchment area; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/32.895119,-106.382085",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2032.895119%20-106.382085,"https://www.google.com/maps?q=32.895119,-106.382085&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_1ddd9d922a6f,13,1,Florida,,,29.177538,-82.203755,2657291.77,54.57,90340240.61,0.1,0.3,637588.8893203705,1.0,0.1569,0.8697,37.54,Balanced Opportunity,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/29.177538,-82.203755",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2029.177538%20-82.203755,"https://www.google.com/maps?q=29.177538,-82.203755&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
texas_64bbac394cea,14,3,Texas,,,29.670715,-95.387544,430435.88,28.87,7741824.04,0.6,0.6,489.5475488753247,1.0,0.2647,0.6421,37.39,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/29.670715,-95.387544",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2029.670715%20-95.387544,"https://www.google.com/maps?q=29.670715,-95.387544&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
north_carolina_3fb8969259e9,15,1,North Carolina,,,36.028523,-80.397423,127074.55,50.45,3993997.58,1.0,0.9,106.26802936382482,1.0,0.0,0.5042,37.38,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/36.028523,-80.397423",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2036.028523%20-80.397423,"https://www.google.com/maps?q=36.028523,-80.397423&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
illinois_9750bf0f35cf,16,1,Illinois,,,41.857328,-87.757961,372924.35,39.32,9135289.13,1.0,0.9,89.0260671697859,1.0,0.0686,0.6024,37.02,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/41.857328,-87.757961",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2041.857328%20-87.757961,"https://www.google.com/maps?q=41.857328,-87.757961&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
illinois_0ef691123bed,17,2,Illinois,,,41.866676,-88.099433,107127.06,39.32,2624223.03,1.0,0.9,68.80174445746766,0.8,0.0686,0.7164,36.39,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, moderate rainfall potential, high annual capture potential, strong nearby cooling demand signal, strong industrial or regulated facility context.",Large roof catchment area; Strong nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/41.866676,-88.099433",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2041.866676%20-88.099433,"https://www.google.com/maps?q=41.866676,-88.099433&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_a3dcf81584b3,18,2,Florida,,,28.03492,-82.050143,448103.9,54.57,15234237.58,0.1,0.3,783014.1699159263,1.0,0.1569,0.9174,36.27,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/28.03492,-82.050143",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2028.03492%20-82.050143,"https://www.google.com/maps?q=28.03492,-82.050143&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_61288dfa6525,19,3,Florida,,,30.266491,-81.890171,1363016.97,54.57,46338637.86,0.1,0.3,511951.1446695028,1.0,0.1569,0.8464,36.25,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.266491,-81.890171",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.266491%20-81.890171,"https://www.google.com/maps?q=30.266491,-81.890171&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_d3061dee68ac,20,4,Florida,,,30.423073,-81.63438,292709.09,54.57,9951263.13,0.1,0.3,503146.9262827578,1.0,0.1569,0.9196,36.17,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.423073,-81.63438",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.423073%20-81.63438,"https://www.google.com/maps?q=30.423073,-81.63438&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_842a68e3e229,21,5,Florida,,,27.880968,-82.360992,270299.88,54.57,9189414.75,0.1,0.3,796438.7169916416,1.0,0.1569,0.9192,36.15,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/27.880968,-82.360992",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2027.880968%20-82.360992,"https://www.google.com/maps?q=27.880968,-82.360992&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
west_virginia_40fa201bc0b1,22,8,West Virginia,,,40.389485,-80.619502,125033.06,45.3,3528670.52,0.1,0.3,108954.78365858622,1.0,1.0,0.9076,36.15,Balanced Opportunity,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, high annual capture potential, strong industrial or regulated facility context.",Large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/40.389485,-80.619502",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2040.389485%20-80.619502,"https://www.google.com/maps?q=40.389485,-80.619502&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_6a3f3209c3a7,23,6,Florida,,,28.08203,-81.614714,260208.21,54.57,8846327.14,0.1,0.3,787819.1875077258,1.0,0.1569,0.9182,36.13,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/28.08203,-81.614714",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2028.08203%20-81.614714,"https://www.google.com/maps?q=28.08203,-81.614714&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_fcc05bf6e4e8,24,7,Florida,,,28.419484,-81.364859,340285.23,54.57,11568714.4,0.1,0.3,754370.3524410104,1.0,0.1569,0.9115,36.12,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/28.419484,-81.364859",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2028.419484%20-81.364859,"https://www.google.com/maps?q=28.419484,-81.364859&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_1a4b9bc825f5,25,8,Florida,,,27.885171,-82.356384,269523.98,54.57,9163036.4,0.1,0.3,795987.6874296047,1.0,0.1569,0.9159,36.11,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/27.885171,-82.356384",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2027.885171%20-82.356384,"https://www.google.com/maps?q=27.885171,-82.356384&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
new_mexico_d213afa2de56,26,2,New Mexico,,,32.899328,-106.377712,64059761.49,14.63,583872055.5,0.1,0.3,91764.27947563588,0.1,0.1373,0.4818,36.1,Rainfall-Driven,"Strong candidate due to very large roof catchment area, very high annual capture potential.",Very large roof catchment area; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/32.899328,-106.377712",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2032.899328%20-106.377712,"https://www.google.com/maps?q=32.899328,-106.377712&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_29accf483a75,27,9,Florida,,,28.072385,-81.983254,235879.37,54.57,8019216.89,0.1,0.3,779819.137841891,1.0,0.1569,0.9178,36.1,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/28.072385,-81.983254",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2028.072385%20-81.983254,"https://www.google.com/maps?q=28.072385,-81.983254&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
texas_b761f0a012e8,28,4,Texas,,,29.670527,-95.388395,432735.98,28.87,7783193.66,0.6,0.6,391.8563568304824,0.8,0.2647,0.6808,36.1,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, moderate rainfall potential, very high annual capture potential, moderate nearby cooling demand signal, strong industrial or regulated facility context.",Very large roof catchment area; Moderate nearby cooling tower evidence; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/29.670527,-95.388395",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2029.670527%20-95.388395,"https://www.google.com/maps?q=29.670527,-95.388395&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_0f666366563b,29,10,Florida,,,30.377261,-81.789534,356684.34,54.57,12126236.74,0.1,0.3,502280.4284981421,1.0,0.1569,0.9067,36.08,Cooling-Demand-Driven,"Strong candidate due to very large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/30.377261,-81.789534",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2030.377261%20-81.789534,"https://www.google.com/maps?q=30.377261,-81.789534&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
florida_c354081bd35e,30,11,Florida,,,27.906727,-82.383985,206259.89,54.57,7012240.17,0.1,0.3,792866.8375360337,1.0,0.1569,0.9166,36.07,Cooling-Demand-Driven,"Strong candidate due to large roof catchment area, strong roof geometry for water collection, strong rainfall potential, very high annual capture potential, strong industrial or regulated facility context.",Very large roof catchment area; Near industrial or regulated facility context; Near sustainability-certified building context,global_top_500,pending,Sentinel-2 / Landsat / Google Earth Engine,pending,,,,,,,,,,,,,,"https://earth.google.com/web/search/27.906727,-82.383985",https://www.google.com/search?q=Google%20Earth%20Engine%20Sentinel-2%20Landsat%2027.906727%20-82.383985,"https://www.google.com/maps?q=27.906727,-82.383985&t=k&z=20",1) Review Copernicus Browser for Sentinel/Landsat site context; 2) Review Google Earth context; 3) Use high-res confirmation for rooftop/cooling validation; 4) Fill support/confidence notes
